Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders
Guvi Geek Network Pvt Ltd,Edtech,Pre series A,"$786,000 ",Chennai,Operates vernacular-language based education,2014,Education Catalyst Fund,"SP Balamurugan, Arun Prakash, Sri Devi"
Biryani By Kilo,Food,Series B,"$790,000 ",Delhi,Online paltform to order biryani,,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",Vishal Jindal
Credit Mantri,Fintech,,"$792,000 ",Chennai,Offers free credit score and a detailed credit analysis report,2012,"IDG Ventures, Elevar Equity, Accion","Gowri Mukherjee, Ranjit Punja, Rajasundaram Sudarshan"
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,"$800,000 ","Mumbai, Maharashtra, India",We build In-Destination Experiences!, , , 
SignalX,AI startup,Seed,"$800,000 ",Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2018,"9Unicorns, 3Lines VC, Hyderabad Angels","Govind Balachandran, Zakir Wahab, Piyush Arora"
Clientjoy,SaaS startup,Pre-series A,"$800,000 ",Gujarat,Client Management Software For Modern Agencies.,2013,"LetsVenture, Jyotsna Bapat","Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah"
Svami,Food & Bevarages,,"$800,000 ",Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2016,"Niren Shah, Rukam Capital Trust",Sahil Jatana
Suryoday,Finance,,"$800,000 ",Mumbai,Banks that extends two distinct fixed deposit schemes,2008,"Gaja Capital, Kotak Life, Lok Capital",R. Baskar Babu
Cub McPaws,AR startup,Pre-series A,"$800,000 ",Mumbai,Cub McPaws is a kids clothing brand.,2018,Venture Catalysts,"Shah, Abhay Bhat"
GUVI,EdTech Startup,Series A,"$800,000 ",Chennai,Operates vernacular-language based education tech startup,2014,"CBA Capital, Gray Matters Capital",Arun Prakash
